                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3152,                 3.0868,                 1.1457,                 0.0127,                0.90948,                0.21108,                0.12942,                 1.2575,                 3.7519,                0.93929,             0.00027775,             0.00027775,             0.00027775
                      1,                 1.3507,                 2.1351,                 1.1378,                0.01356,                0.94693,                0.47635,                0.28811,                 1.2318,                 3.4217,                0.95181,             0.00051052,             0.00051052,             0.00051052
                      2,                 1.3613,                 1.5766,                 1.1885,                 0.8546,                0.14284,                 0.7024,                0.44636,                 1.2539,                 2.8646,                 1.0278,             0.00068609,             0.00068609,             0.00068609
                      3,                 1.3364,                 1.3558,                 1.1622,                0.95781,                0.87713,                0.96291,                0.60793,                  1.274,                 1.6917,                 1.0618,             0.00078103,             0.00078103,             0.00078103
                      4,                 1.3108,                  1.235,                 1.1377,                0.93594,                0.92513,                0.96519,                0.61942,                 1.2656,                 1.4279,                 1.0797,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.3206,                 1.1356,                 1.1535,                0.92554,                0.93947,                0.97854,                 0.6309,                 1.2841,                 1.1495,                 1.0694,             0.00067104,             0.00067104,             0.00067104
                      6,                 1.2726,                 1.0611,                 1.1362,                0.97492,                0.95099,                0.98408,                0.65954,                 1.2567,                 1.0139,                 1.0857,             0.00056105,             0.00056105,             0.00056105
                      7,                 1.3111,                 1.0263,                 1.1316,                0.97387,                 0.9813,                0.98601,                0.66442,                 1.2218,                0.93074,                 1.0523,             0.00045107,             0.00045107,             0.00045107
                      8,                 1.2461,                0.94889,                 1.1209,                0.97579,                0.97615,                0.98483,                 0.6722,                 1.1752,                0.87914,                 1.0482,             0.00034108,             0.00034108,             0.00034108
                      9,                 1.2767,                0.95533,                 1.1155,                0.97635,                0.96272,                0.98833,                 0.6691,                 1.2363,                0.87147,                 1.0601,             0.00023109,             0.00023109,             0.00023109
