                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.274,                 3.0726,                 1.1268,                0.01187,                0.82368,                0.19729,                0.13241,                 1.1794,                 3.6936,                0.92941,             0.00027775,             0.00027775,             0.00027775
                      1,                 1.3675,                 1.9709,                 1.1262,                0.01551,                0.91446,                0.50024,                0.32169,                 1.2468,                 3.4205,                0.94096,               0.000561,               0.000561,               0.000561
                      2,                 1.3433,                 1.4626,                 1.1313,                0.79852,                0.15494,                0.74615,                0.46829,                  1.298,                 2.8359,                  1.059,             0.00083853,             0.00083853,             0.00083853
                      3,                 1.3681,                 1.3076,                 1.1654,                0.93432,                0.81443,                0.94604,                 0.6048,                 1.2902,                 1.8108,                 1.0983,               0.001078,               0.001078,               0.001078
                      4,                 1.3226,                 1.2067,                 1.1663,                0.89359,                 0.8958,                0.94468,                0.60909,                 1.2478,                 1.3157,                 1.0739,               0.001078,               0.001078,               0.001078
                      5,                 1.3639,                 1.1114,                 1.1732,                0.91639,                0.94556,                 0.9688,                0.62579,                 1.2801,                 1.1535,                 1.0917,               0.001067,               0.001067,               0.001067
                      6,                 1.2941,                 1.0506,                  1.136,                0.97528,                0.94962,                0.98053,                0.62711,                 1.2834,                 1.0473,                 1.0782,               0.001056,               0.001056,               0.001056
                      7,                  1.311,                 1.0386,                 1.1393,                0.96831,                0.97149,                0.98729,                0.66554,                 1.2104,                0.92098,                 1.0667,               0.001045,               0.001045,               0.001045
                      8,                 1.2851,                0.95832,                 1.1323,                0.98808,                0.97326,                0.98787,                0.63719,                 1.2434,                0.91284,                 1.0849,               0.001034,               0.001034,               0.001034
                      9,                 1.2758,                 0.9018,                 1.1219,                0.97668,                0.99136,                0.98984,                 0.6485,                  1.293,                0.90471,                   1.09,               0.001023,               0.001023,               0.001023
                     10,                 1.3131,                0.94853,                 1.1398,                0.97579,                0.96837,                0.98804,                0.65922,                   1.25,                0.87504,                 1.0876,               0.001012,               0.001012,               0.001012
                     11,                 1.2943,                0.89474,                 1.1288,                0.96048,                0.96343,                0.98099,                0.66522,                 1.2429,                0.81552,                 1.0879,               0.001001,               0.001001,               0.001001
                     12,                 1.2307,                0.82029,                 1.1324,                 0.9419,                0.96348,                0.98442,                0.67056,                 1.2155,                0.80874,                 1.0698,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.2936,                0.83065,                 1.1296,                 0.9599,                0.98576,                0.98738,                0.67264,                 1.2316,                0.80499,                 1.0774,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.2768,                 0.7887,                 1.1238,                 0.9676,                0.98118,                0.98954,                0.66514,                 1.2632,                0.76386,                 1.0887,             0.00096801,             0.00096801,             0.00096801
